,accumulat_revenue,date,last_month_revenue_percent,last_year_accumulat_revenue,last_year_revenue,last_year_revenue_percent,revenue,revenue_percent
0,237616048,2016/12,8.5,207108640,18825088,14.4,21537324,14.7
1,216078704,2016/11,43.3,188283600,18448950,7.6,19842420,14.8
2,196236304,2016/10,-32.7,169834592,14664240,-5.6,13848310,15.6
3,182388000,2016/09,-0.2,155170400,17913180,14.9,20590480,17.5
4,161797504,2016/08,-21.6,137257200,10510450,96.2,20622510,17.9
5,141175008,2016/07,-11.8,126746704,16495310,59.5,26318410,11.4
6,114856600,2016/06,51.0,110251400,21252400,40.3,29823420,4.2
7,85033184,2016/05,10.7,88999024,15387410,28.4,19755980,-4.5
8,65277200,2016/04,-7.7,73611616,19032860,-6.2,17848940,-11.3
9,47428260,2016/03,35.3,54578752,22173360,-12.8,19335950,-13.1
10,28092310,2016/02,3.6,32405390,14203020,0.6,14292070,-13.3
11,13800240,2016/01,-26.7,18202370,18202370,-24.2,13800240,-24.2
12,207108640,2015/12,2.0,186307968,5267276,257.4,18825088,11.2
13,188283600,2015/11,25.8,181040704,19037330,-3.1,18448950,4.0
14,169834592,2015/10,-18.1,162003392,13775500,6.4,14664240,4.8
15,155170400,2015/09,70.4,148227904,25259340,-29.1,17913180,4.7
16,137257200,2015/08,-36.3,122968496,16656630,-36.9,10510450,11.6
17,126746704,2015/07,-22.4,106311904,18125980,-9.0,16495310,19.2
18,110251424,2015/06,38.1,88185904,21297430,-0.2,21252400,25.0
19,88999024,2015/05,-19.1,66888480,12257060,25.5,15387410,33.1
20,73611616,2015/04,-14.2,54631420,12746180,49.3,19032860,34.7
21,54578752,2015/03,56.1,41885240,14761570,50.2,22173360,30.3
22,32405390,2015/02,-22.0,27123670,10890910,30.4,14203020,19.5
23,18202370,2015/01,245.6,16232760,16232760,12.1,18202370,12.1
24,186307968,2014/12,-72.3,149837456,16916634,-68.9,5267276,24.3
25,181040688,2014/11,38.2,132920824,15624966,21.8,19037328,36.2
26,162003392,2014/10,-45.5,117295904,10824230,27.3,13775500,38.1
27,148227904,2014/09,51.7,106471600,11510580,119.4,25259340,39.2
28,122968496,2014/08,-8.1,94961048,9490107,75.5,16656630,29.5
29,106311904,2014/07,-14.9,85470944,17233330,5.2,18125980,24.4
30,88185904,2014/06,73.8,68237616,11608590,83.5,21297430,29.2
31,66888480,2014/05,-3.8,56629020,10700710,14.5,12257060,18.1
32,54631420,2014/04,-13.6,45928320,9350053,36.3,12746180,19.0
33,41885240,2014/03,35.5,36578260,15025710,-1.8,14761570,14.5
34,27123670,2014/02,-32.9,21552560,7675067,41.9,10890910,25.9
35,16232760,2014/01,-4.0,13877490,13877490,17.0,16232760,17.0
36,149837504,2013/12,8.3,136326896,9929549,70.4,16916630,9.9
37,132920800,2013/11,44.3,126397400,13566760,15.2,15624970,5.2
38,117295904,2013/10,-6.0,112830600,7978129,35.7,10824230,4.0
39,106471600,2013/09,21.3,104852496,5615899,105.0,11510580,1.5
40,94961048,2013/08,-44.9,99236576,5764812,64.6,9490107,-4.3
41,85470944,2013/07,48.5,93471768,16648740,3.5,17233330,-8.6
42,68237616,2013/06,8.5,76823032,13507490,-14.1,11608590,-11.2
43,56629020,2013/05,14.4,63315540,17419870,-38.6,10700710,-10.6
44,45928320,2013/04,-37.8,45895680,11145340,-16.1,9350053,0.1
45,36578260,2013/03,95.8,34750340,9788747,53.5,15025710,5.3
46,21552560,2013/02,-44.7,24961590,12474800,-38.5,7675067,-13.6
47,13877490,2013/01,0.0,12486800,12486800,11.1,13877490,11.1
48,10326450,2012/12,25.7,6047527,82448,-479.9,-313191,70.8
49,10639640,2012/11,-204.9,5965079,-674454,37.5,-421418,78.4
50,11061060,2012/10,721.3,6639533,97907,310.1,401564,66.6
51,10659490,2012/09,-109.9,6541626,635259,-110.2,-64636,62.9
52,10724130,2012/08,-70.7,5906367,658682,-1.1,651243,81.6
53,10072890,2012/07,433.4,5247685,3058963,-27.2,2225706,91.9
54,7847181,2012/06,-91.8,2188722,675861,-38.3,417294,258.5
55,7429887,2012/05,823.5,-2148679,585864,764.6,5065596,445.8
56,2364291,2012/04,-191.0,2013452,588327,-219.0,-700173,17.4
57,3064464,2012/03,-14.4,1425125,-211894,463.2,769590,115.0
58,2294874,2012/02,-35.6,1637019,3349600,-73.2,898741,40.2
59,1396133,2012/01,1593.3,-1712581,-1712581,181.5,1396133,181.5
