,accumulat_revenue,date,last_month_revenue_percent,last_year_accumulat_revenue,last_year_revenue,last_year_revenue_percent,revenue,revenue_percent
0,10722124,2016/11,6.9,8231940,897606,31.0,1176091,30.3
1,9546033,2016/10,-15.3,7334334,834486,31.8,1100053,30.2
2,8445980,2016/09,3.3,6499848,900735,44.1,1298062,29.9
3,7147918,2016/08,25.8,5599113,847307,48.2,1256017,27.7
4,5891901,2016/07,19.9,4751806,797017,25.2,998181,24.0
5,4893720,2016/06,-2.1,3954789,653386,27.4,832371,23.7
6,4061349,2016/05,7.9,3301403,622489,36.5,849945,23.0
7,3211404,2016/04,-13.8,2678914,649189,21.4,787788,19.9
8,2423616,2016/03,70.1,2029725,667618,37.0,914340,19.4
9,1509276,2016/02,-44.7,1362107,454602,18.3,537557,10.8
10,971719,2016/01,29.7,907505,907505,7.1,971719,7.1
11,8981223,2015/12,-16.5,9184569,762846,-1.8,749283,-2.2
12,8231940,2015/11,7.6,8421722,869491,3.2,897606,-2.3
13,7334334,2015/10,-7.3,7552231,847794,-1.6,834486,-2.9
14,6499848,2015/09,6.3,6704437,750095,20.1,900735,-3.0
15,5599113,2015/08,6.3,5954342,732277,15.7,847307,-6.0
16,4751806,2015/07,22.0,5222065,792455,0.6,797017,-9.0
17,3954789,2015/06,5.0,4429610,679903,-3.9,653386,-10.7
18,3301403,2015/05,-4.1,3749707,763100,-18.4,622489,-12.0
19,2678914,2015/04,-2.8,2986607,798517,-18.7,649189,-10.3
20,2029725,2015/03,46.9,2188090,783135,-14.8,667618,-7.2
21,1362107,2015/02,-49.9,1404955,602010,-24.5,454602,-3.0
22,907505,2015/01,19.0,802945,802945,13.0,907505,13.0
23,9184569,2014/12,-12.3,8751706,864162,-11.7,762846,4.9
24,8421723,2014/11,2.6,7887544,790818,9.9,869491,6.8
25,7552232,2014/10,13.0,7096726,707252,19.9,847794,6.4
26,6704438,2014/09,2.4,6389569,789515,-5.0,750095,4.9
27,5954342,2014/08,-7.6,5600054,756149,-3.2,732277,6.3
28,5222065,2014/07,16.5,4843905,746728,6.1,792455,7.8
29,4429610,2014/06,-10.9,4097177,678821,0.2,679903,8.1
30,3749707,2014/05,-4.4,3418356,827147,-7.7,763100,9.7
31,2986607,2014/04,2.0,2591209,728367,9.6,798517,15.3
32,2188090,2014/03,30.1,1862842,643869,21.6,783135,17.5
33,1404955,2014/02,-25.0,1218973,448481,34.2,602010,15.3
34,802945,2014/01,-7.1,770492,770492,4.2,802945,4.2
35,8751706,2013/12,9.3,9843520,635766,35.9,864162,-11.1
36,7887544,2013/11,11.8,9207754,715290,10.6,790818,-14.3
37,7096726,2013/10,-10.4,8492464,727069,-2.7,707252,-16.4
38,6389474,2013/09,4.4,7765395,919493,-14.1,789515,-17.7
39,5599959,2013/08,1.3,6845902,887460,-14.8,756149,-18.2
40,4843810,2013/07,10.0,5958442,948964,-21.3,746728,-18.7
41,4097082,2013/06,-17.9,5009478,784099,-13.4,678821,-18.2
42,3418261,2013/05,13.6,4225379,863522,-4.2,827147,-19.1
43,2591114,2013/04,13.1,3361857,824071,-11.6,728367,-22.9
44,1862842,2013/03,43.6,2537786,1060839,-39.3,643869,-26.6
45,1218973,2013/02,-41.8,1476947,785418,-42.9,448481,-17.5
46,770492,2013/01,0.0,691529,691529,11.4,770492,11.4
47,5218505,2012/12,-12.8,5272227,404874,-18.0,332145,-1.0
48,4886360,2012/11,-0.3,4867352,394859,-3.5,381009,0.4
49,4505352,2012/10,-21.6,4472493,370424,3.2,382207,0.7
50,4123145,2012/09,-3.4,4102069,433536,12.5,487773,0.5
51,3635372,2012/08,-4.1,3668533,405568,24.5,505011,-0.9
52,3130360,2012/07,37.5,3262965,444245,18.5,526686,-4.1
53,2603674,2012/06,-17.6,2818720,423291,-9.5,383015,-7.6
54,2220660,2012/05,0.5,2395437,449451,3.4,464712,-7.3
55,1755948,2012/04,-11.0,1946020,520523,-11.2,462216,-9.8
56,1293732,2012/03,24.4,1425497,578737,-10.2,519558,-9.2
57,774174,2012/02,17.1,846761,315900,32.2,417629,-8.6
58,356544,2012/01,-11.9,530860,530860,-32.8,356544,-32.8
59,5272227,2011/12,2.5,7202651,476877,-15.1,404874,-26.8
60,4867352,2011/11,6.6,6725774,476448,-17.1,394859,-27.6
61,4472493,2011/10,-14.6,6249326,462882,-20.0,370424,-28.4
62,4102069,2011/09,6.9,5786444,598519,-27.6,433536,-29.1
63,3668533,2011/08,-8.7,5187925,551585,-26.5,405568,-29.3
64,3262965,2011/07,4.9,4636339,604118,-26.5,444245,-29.6
65,2818720,2011/06,-5.8,4032221,594681,-28.8,423291,-30.1
66,2395437,2011/05,-13.6,3437541,594933,-24.5,449451,-30.3
67,1946020,2011/04,-10.1,2837931,693273,-24.9,520523,-31.4
68,1425497,2011/03,83.2,2144658,754697,-23.3,578737,-33.5
69,846761,2011/02,-40.5,1382727,576485,-45.2,315900,-38.8
70,530860,2011/01,11.3,806242,806242,-34.2,530860,-34.2
