,accumulat_revenue,date,last_month_revenue_percent,last_year_accumulat_revenue,last_year_revenue,last_year_revenue_percent,revenue,revenue_percent
0,2542422,2016/12,0.1,2828746,261885,-24.5,197820,-10.1
1,2344602,2016/11,-1.8,2566861,229367,-13.8,197622,-8.7
2,2146980,2016/10,12.8,2337494,204213,-1.4,201308,-8.1
3,1945672,2016/09,-13.4,2133281,226691,-21.3,178463,-8.8
4,1767210,2016/08,-1.3,1906590,262513,-21.5,205976,-7.3
5,1561233,2016/07,-13.8,1644077,220373,-5.3,208749,-5.0
6,1352484,2016/06,-0.6,1423704,262606,-7.8,242240,-5.0
7,1110244,2016/05,4.2,1161098,262318,-7.1,243694,-4.4
8,866550,2016/04,-9.8,898780,228271,2.5,233988,-3.6
9,632561,2016/03,71.6,670509,238811,8.6,259379,-5.7
10,373182,2016/02,-31.9,431698,184787,-18.2,151138,-13.6
11,222044,2016/01,-15.8,246911,246911,-10.1,222044,-10.1
12,2830513,2015/12,14.9,3578567,271940,-3.0,263652,-20.9
13,2566861,2015/11,12.3,3306627,262935,-12.8,229367,-22.4
14,2337494,2015/10,-9.9,3043692,306273,-33.3,204213,-23.2
15,2133281,2015/09,-13.6,2737419,333841,-32.1,226691,-22.1
16,1906590,2015/08,19.1,2403578,336917,-22.1,262513,-20.7
17,1644076,2015/07,-16.1,2066661,329432,-33.1,220373,-20.5
18,1423703,2015/06,0.1,1737229,324574,-19.1,262606,-18.0
19,1161097,2015/05,14.9,1412655,305448,-14.1,262318,-17.8
20,898779,2015/04,-4.4,1107207,335685,-32.0,228271,-18.8
21,670508,2015/03,29.2,771522,346409,-31.1,238811,-13.1
22,431697,2015/02,-25.2,425113,205096,-9.9,184787,1.5
23,246911,2015/01,-10.3,220017,220017,12.2,246911,12.2
24,3581964,2014/12,4.7,3502726,289552,-4.9,275337,2.3
25,3306627,2014/11,-14.2,3213174,281361,-6.6,262935,2.9
26,3043692,2014/10,-8.3,2931813,289294,5.9,306273,3.8
27,2737419,2014/09,-0.9,2642518,322194,3.6,333841,3.6
28,2403578,2014/08,2.3,2320324,324199,3.9,336917,3.6
29,2066661,2014/07,1.5,1996125,357724,-7.9,329432,3.5
30,1737230,2014/06,6.3,1638401,274252,18.4,324574,6.0
31,1412656,2014/05,-9.0,1364149,310477,-1.6,305448,3.6
32,1107207,2014/04,-3.1,1053672,348170,-3.6,335685,5.1
33,771522,2014/03,68.9,705502,314681,10.1,346409,9.4
34,425113,2014/02,-6.8,390821,140003,46.5,205096,8.8
35,220017,2014/01,-24.0,250818,250818,-12.3,220017,-12.3
36,3502726,2013/12,2.9,3841073,324617,-10.8,289552,-8.8
37,3213174,2013/11,-2.7,3516456,251630,11.8,281361,-8.6
38,2931813,2013/10,-10.2,3264826,326536,-11.4,289294,-10.2
39,2642519,2013/09,-0.6,2938290,391628,-17.7,322194,-10.1
40,2320325,2013/08,-9.4,2546662,324824,-0.2,324199,-8.9
41,1996125,2013/07,30.4,2221838,307404,16.4,357724,-10.1
42,1638402,2013/06,-11.7,1914434,272254,0.7,274252,-14.4
43,1364149,2013/05,-10.8,1642180,395178,-21.4,310477,-16.9
44,1053673,2013/04,10.6,1247002,378379,-8.0,348170,-15.5
45,705502,2013/03,124.8,868623,419168,-24.9,314681,-18.8
46,390821,2013/02,-44.2,449455,242606,-42.3,140003,-13.0
47,250818,2013/01,0.0,206849,206849,21.3,250818,21.3
48,1738125,2012/12,42.7,1658154,195489,-14.0,168044,4.8
49,1570081,2012/11,-21.7,1462665,122800,-4.1,117747,7.3
50,1452334,2012/10,-8.1,1339865,150396,0.0,150440,8.4
51,1301894,2012/09,18.0,1189469,126238,29.8,163804,9.4
52,1138090,2012/08,-4.6,1063231,147243,-5.8,138765,7.0
53,999325,2012/07,4.7,915989,166791,-12.8,145406,9.1
54,853920,2012/06,-11.9,749197,145933,-4.9,138828,14.0
55,715091,2012/05,4.2,603264,130144,21.0,157526,18.5
56,557565,2012/04,-9.3,473120,139231,8.6,151223,17.8
57,406342,2012/03,60.0,333890,131607,26.7,166773,21.7
58,239569,2012/02,-23.0,202282,85851,21.4,104206,18.4
59,135364,2012/01,-30.8,116431,116431,16.3,135364,16.3
