,accumulat_revenue,date,last_month_revenue_percent,last_year_accumulat_revenue,last_year_revenue,last_year_revenue_percent,revenue,revenue_percent
0,7710229,2016/11,12.8,8046324,663457,-9.2,602623,-4.2
1,7107606,2016/10,-31.5,7382867,796697,-33.0,534018,-3.7
2,6573588,2016/09,-17.1,6586170,658368,18.4,779724,-0.2
3,5793864,2016/08,31.9,5927802,766969,22.6,940585,-2.3
4,4853279,2016/07,-12.3,5160833,635473,12.3,713330,-6.0
5,4139949,2016/06,-7.3,4525360,765193,6.3,813311,-8.5
6,3326638,2016/05,9.0,3760167,744801,17.9,877721,-11.5
7,2448917,2016/04,43.4,3015366,855807,-5.9,804958,-18.8
8,1643959,2016/03,58.8,2159559,700021,-19.8,561316,-23.9
9,1082643,2016/02,-51.5,1459538,410503,-13.9,353582,-25.8
10,729061,2016/01,12.9,1049035,1049035,-30.5,729061,-30.5
11,8691822,2015/12,-2.7,12653423,1118305,-42.3,645498,-31.3
12,8046324,2015/11,-16.7,11535130,878080,-24.4,663457,-30.2
13,7382867,2015/10,21.0,10657050,1157276,-31.2,796697,-30.7
14,6586170,2015/09,-14.2,9499772,1054854,-37.6,658368,-30.7
15,5927802,2015/08,20.7,8444918,1002615,-23.5,766969,-29.8
16,5160833,2015/07,-17.0,7442303,1066096,-40.4,635473,-30.7
17,4525360,2015/06,2.7,6376207,1053203,-27.4,765193,-29.0
18,3760167,2015/05,-13.0,5323004,1208010,-38.3,744801,-29.4
19,3015366,2015/04,22.3,4114994,1179294,-27.4,855807,-26.7
20,2159559,2015/03,70.5,2935700,1181846,-40.8,700021,-26.4
21,1459538,2015/02,-60.9,1753854,925776,-55.7,410503,-16.8
22,1049035,2015/01,-6.2,828078,828078,26.7,1049035,26.7
23,12653423,2014/12,27.4,12519359,1109205,0.8,1118305,1.1
24,11535118,2014/11,-24.1,11410155,1049310,-16.3,878080,1.1
25,10657040,2014/10,9.7,10360840,985180,17.5,1157276,2.8
26,9499762,2014/09,5.2,9375664,1099130,-4.0,1054854,1.3
27,8444918,2014/08,-5.9,8276534,1290568,-22.3,1002615,2.0
28,7442303,2014/07,1.2,6985966,1064227,0.2,1066096,6.5
29,6376207,2014/06,-12.8,5921739,862330,22.1,1053203,7.7
30,5323004,2014/05,2.4,5059409,1041179,16.0,1208010,5.2
31,4114994,2014/04,-0.2,4018230,1106545,6.6,1179294,2.4
32,2935700,2014/03,27.7,2911685,1364620,-13.4,1181846,0.8
33,1753854,2014/02,11.8,1547065,471067,96.5,925776,13.4
34,828078,2014/01,-25.3,1075998,1075998,-23.0,828078,-23.0
35,12519360,2013/12,5.7,10419770,764836,45.0,1109205,20.1
36,11410160,2013/11,6.5,9654934,744655,40.9,1049310,18.2
37,10360840,2013/10,-10.4,8910280,800882,23.0,985180,16.3
38,9375664,2013/09,-14.8,8106665,1457069,-24.6,1099130,15.6
39,8276534,2013/08,21.3,6652328,1324294,-2.5,1290568,24.4
40,6985966,2013/07,23.4,5328034,1254044,-15.1,1064227,31.1
41,5921739,2013/06,-17.2,4073990,850683,1.4,862330,45.3
42,5059409,2013/05,-5.9,3223307,724387,43.7,1041179,57.0
43,4018229,2013/04,-18.9,2498920,637851,73.5,1106545,60.8
44,2911684,2013/03,189.7,1861069,904777,50.8,1364620,56.5
45,1547064,2013/02,-56.2,956292,669779,-29.7,471067,61.8
46,1075998,2013/01,0.0,286513,286513,275.5,1075998,275.5
47,10415640,2012/12,2.5,8287220,750783,1.7,763481,25.7
48,9652155,2012/11,-7.0,7536436,631488,17.9,744608,28.1
49,8907547,2012/10,-45.0,6904949,577920,38.6,800882,29.0
50,8106665,2012/09,10.0,6327029,900146,61.9,1457069,28.1
51,6649596,2012/08,5.6,5426883,849443,55.9,1324294,22.5
52,5325302,2012/07,46.3,4577439,885488,41.6,1254044,16.3
53,4071258,2012/06,19.6,3691951,646667,32.5,856861,10.3
54,3214397,2012/05,12.5,3045284,523467,36.9,716666,5.6
55,2497731,2012/04,-29.6,2521817,548455,16.2,637187,-0.9
56,1860544,2012/03,35.0,1973362,903546,0.1,904584,-5.7
57,955958,2012/02,134.0,1069816,393741,70.1,669778,-10.6
58,286180,2012/01,-61.9,676075,676075,-57.7,286180,-57.7
59,8287220,2011/12,18.9,12879100,983749,-23.7,750783,-35.7
60,7536437,2011/11,9.3,11895350,782375,-19.3,631488,-36.6
61,6904949,2011/10,-35.8,11112970,669190,-13.6,577920,-37.9
62,6327029,2011/09,6.0,10443780,1190075,-24.4,900146,-39.4
63,5426883,2011/08,-4.1,9253709,1191282,-28.7,849444,-41.3
64,4577439,2011/07,36.9,8062427,1052049,-15.8,885488,-43.2
65,3691951,2011/06,23.5,7010378,918800,-29.6,646667,-47.3
66,3045284,2011/05,-4.6,6091578,1054124,-50.3,523467,-50.0
67,2521817,2011/04,-39.3,5037454,1631881,-66.4,548455,-49.9
68,1973362,2011/03,129.5,3405573,1521691,-40.6,903546,-42.0
69,1069816,2011/02,-41.8,1883882,567001,-30.5,393741,-43.2
70,676075,2011/01,-31.3,1316881,1316881,-48.7,676075,-48.7
